Line 31: type='character', name='Wolf', _id='9gMnOdTPE6GA1DGi' -> traits.eres: created dict; traits.eres.value: None/missing -> []; traits.dr: created dict; traits.dr.value: None/missing -> []; traits.dv.custom: str -> list
Line 32: type='character', name='Quetzalcoatlus (Dinosaur)', _id='AEX2YcCfyaCtFR6u' -> traits.eres: created dict; traits.eres.value: None/missing -> []; traits.dr: created dict; traits.dr.value: None/missing -> []; traits.dv.custom: str -> list
Line 33: type='character', name='Styracosaurus', _id='AV2WOjlRix1lcC0l' -> traits.eres: created dict; traits.eres.value: None/missing -> []; traits.dr: created dict; traits.dr.value: None/missing -> []; traits.dv.custom: str -> list
Line 34: type='character', name='Spinosaurus', _id='AW3VITgDDJPu69xQ' -> traits.eres: created dict; traits.eres.value: None/missing -> []; traits.dr: created dict; traits.dr.value: None/missing -> []; traits.dv.custom: str -> list
Line 35: type='character', name='Deinotherium', _id='AdiU8J4kWvWz7OA7' -> traits.eres: created dict; traits.eres.value: None/missing -> []; traits.dr: created dict; traits.dr.value: None/missing -> []; traits.dv.custom: str -> list
Line 36: type='character', name='Giant Mantis Shrimp', _id='AneYpTO9krD90Tml' -> traits.eres: created dict; traits.eres.value: None/missing -> []; traits.dr: created dict; traits.dr.value: None/missing -> []; traits.dv.custom: str -> list
Line 37: type='character', name='Parasaurolophus', _id='BDBP9wCceNN8XZv2' -> traits.eres: created dict; traits.eres.value: None/missing -> []; traits.dr: created dict; traits.dr.value: None/missing -> []; traits.dv.custom: str -> list
Line 38: type='character', name='Antelope', _id='BFRZBcOQNN3hLe11' -> traits.eres: created dict; traits.eres.value: None/missing -> []; traits.dr: created dict; traits.dr.value: None/missing -> []; traits.dv.custom: str -> list
Line 39: type='character', name='Gallerok', _id='CMS1vnJdbhgPgUgv' -> traits.eres: created dict; traits.eres.value: None/missing -> []; traits.dr: created dict; traits.dr.value: None/missing -> []; traits.dv.custom: str -> list
Line 40: type='character', name='Giant Cockroach', _id='CTRzv8eNNM7gNcYY' -> traits.eres: created dict; traits.eres.value: None/missing -> []; traits.dr: created dict; traits.dr.value: None/missing -> []; traits.dv.custom: str -> list
Line 41: type='character', name='Giant Frilled Lizard', _id='CUtM5zW0uGUF5mpP' -> traits.eres: created dict; traits.eres.value: None/missing -> []; traits.dr: created dict; traits.dr.value: None/missing -> []; traits.dv.custom: str -> list
Line 42: type='character', name='Allosaurus', _id='CZZ7FCQJBdv4sFpJ' -> traits.eres: created dict; traits.eres.value: None/missing -> []; traits.dr: created dict; traits.dr.value: None/missing -> []; traits.dv.custom: str -> list
Line 43: type='character', name='Roc', _id='DEb1vX2JY5bX8yvK' -> traits.eres: created dict; traits.eres.value: None/missing -> []; traits.dr: created dict; traits.dr.value: None/missing -> []; traits.dv.custom: str -> list
Line 44: type='character', name='Giant Ant', _id='DSrlTqY0EQiv3hu7' -> traits.eres: created dict; traits.eres.value: None/missing -> []; traits.dr: created dict; traits.dr.value: None/missing -> []; traits.dv.custom: str -> list
Line 45: type='character', name='Web Tyrant Spider', _id='E2bw3ELvajWCKEdD' -> traits.eres: created dict; traits.eres.value: None/missing -> []; traits.dr: created dict; traits.dr.value: None/missing -> []; traits.dv.custom: str -> list
Line 46: type='character', name='Stag', _id='E5MCzjrco6oeRp53' -> traits.eres: created dict; traits.eres.value: None/missing -> []; traits.dr: created dict; traits.dr.value: None/missing -> []; traits.dv.custom: str -> list
